respid,sample,comp,int_date,lang,cregion,state,density,usr,qs1,sex,eminuse,intmob,intfreq,home4nw,bbhome1,bbhome2,device1a,smart2,snsint2,device1b,device1c,device1d,web1a,web1b,web1c,web1d,web1e,web1f,web1g,web1h,sns2a,sns2b,sns2c,sns2d,sns2e,pial5a,pial5b,pial5c,pial5d,pial11,pial11a,pial11ao@,pial11_igbm,pial12,books1,books2a,books2b,books2c,age,marital,educ2,emplnw,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,inc,party,partyln,hh1,hh3,ql1,ql1a,qc1,weight,cellweight
100538,2,1,180103,2,3,48,3,U,2,2,1,1,2,2, , , ,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,"mucha gente se infroma por medio de internet, por los telefonos pueden ver las noticias",9,1,0, , , ,26,1,3,4,1,1, , , ,1,3,2,2, ,3,2, , ,2,0.9912883,0.8328197
100541,2,1,180103,1,3,48,5,U,2,1,1,1,2,2, , , ,1,1,2,1,2,2,2,1,2,1,2,2,2, , ,1, ,3,2,1,2,2,1,1,helps with family conmmunication,2,1,4,1,2,2,64,5,4,1,2,1, , , ,1, ,5,3,8,1, , , ,2,0.9478183,0.7177196
100542,2,1,180103,2,4,41,1,R,2,1,1,1,1,1,2, , ,1,1,2,1,1,1,1,1,1,1,1,2,2,3,4,1,1,1,4,3,2,3,1,1,informacion,9,1,10,1,2,2,23,6,4,1,1,1, , , ,1,3,4,3,2,1, , , ,2,0.7058022,0.4780199
100544,2,1,180103,1,4,6,1,S,2,2,1,1,2,1,2, , ,1,1,2,1,2,1,2,1,1,1,2,2,1,4, ,1,5,2,1,1,2,2,1,1,"reunited friends and family members, pet rescues, research",2,1,12,1,2,2,50,3,5,3,2,1, , , ,1, ,1,3,2,1, , , ,1,1.1110359,1.7940334
100545,2,1,180104,1,4,6,2,U,2,1,1,1,1,2, , , ,8,2,1,1,1,2,2,2,2,1,2,2,2, , , , ,1,4,1,1, ,1,1,"Because he likes wathcing the news, youtube, search up artist, music video.",1,1,8,2,2,2,42,6,7,7,1,1, , , ,1,1,4,1, ,4,4, , ,2,1.1752853,0.8529186
100547,2,1,180104,2,4,6,4,U,2,1,1,1,1,1,1,2, ,1,1,2,1,2,2,2,1,2,1,1,2,2, , ,1, ,1,3,1,1,4,1,1,para ver culturisarse y para toda forma de educasion,9,1,0, , , ,68,6,7,3,1,7, , , ,5, ,1,1, ,3,3, , ,1,0.6227156,0.6143125
100548,2,1,180103,1,4,41,4,U,2,2,1,1,1,1,2, , ,1,1,1,1,1,2,1,1,2,1,1,1,1, ,4,3, ,2,2,2,1,3,1,1,mainly communication,2,1,1,1,2,2,34,1,3,1,1,1, , , ,1,3,8,2, ,4,2, , ,2,1.0326325,0.7664239
100549,2,1,180103,1,4,53,2,U,2,1,1,1,2,1,2, , ,1,1,2,1,2,2,2,1,2,1,2,2,2, , ,2, ,2,4,4,2,3,1,1,a lot of information available,1,1,0, , , ,46,3,5,2,2,3, , , ,3, ,1,3,2,1, , , ,2,1.5531183,1.4929478
100551,2,1,180103,1,4,53,2,S,2,1,1,1,2,1,2, , ,1,1,1,1,2,2,2,1,2,1,1,2,1, , ,2, ,3,3,1,1,2,1,1,ease speed stuff banking,1,1,24,1,2,1,97,1,7,1,2,1, , , ,1, ,9,5,2,2,2, , ,1,0.3849665,0.5440401
100552,2,1,180103,1,4,53,2,U,2,1,1,1,2,1,2, , ,1,1,1,1,2,2,1,1,2,1,2,2,2, ,1,1, ,3,2,1,1,2,1,1,makes the world smaller,2,1,4,1,2,2,40,1,6,1,2,1, , , ,1, ,8,2, ,4,2, , ,2,0.8266879,0.6407983
100554,2,1,180104,1,4,6,4,U,2,2,1,1,2,1,2, , ,1,1,1,1,2,2,2,1,2,1,2,2,1, , ,4, ,3,4,1,1,3,1,1,sharing of information,1,1,6,1,2,2,59,1,8,1,2,1, , , ,1, ,8,2, ,2,2, , ,2,0.6942122,0.5881392
100556,2,1,180104,1,4,6,4,S,2,1,1,1,1,1,2, , ,1,1,1,1,1,1,1,1,1,1,1,2,1,5,5,5,5,1,3,2,2,3,1,1,innovation and economic opportunities,8,1,20,1,2,1,25,6,6,1,2,3,1, , ,4, ,7,1, ,4,4, , ,1,0.9600622,0.744141
100557,2,1,180104,1,4,6,5,S,2,2,1,1,2,1,2, , ,1,1,1,1,1,2,1,1,2,1,2,1,1, ,3,2, ,1,3,1,1,1,1,1,FInd information on the internet,1,1,6,1,2,1,47,4,5,2,1,1, , , ,1,1,5,2, ,4,3, , ,2,1.9193312,1.597861
100558,2,1,180107,1,3,48,4,U,2,2,1,1,1,1,2, , ,1,1,1,1,2,1,1,1,2,2,1,2,1,3,2,2, , ,2,5,1,3,1,1,access to info,1,1,50,1,2,1,47,3,7,1,2,1, , , ,1, ,9,2, ,1, , , ,2,1.1215736,0.8119186
100559,2,1,180104,1,1,42,5,U,2,2,2,1,4,2, , , ,2,2,1,2,2,2,2,2,2,2,2,2,2, , , , , ,1,3,4, ,1,1,interacting with people and stuff meeting new people,2,8,98,1,2,2,74,5,2,3,2,2, , , ,2, ,2,2, ,1, , , ,2,1.0567565,1.7558337
100562,2,1,180104,1,1,44,3,S,2,2,1,2,2,1,2, , ,9,1,2,1,2,2,2,2,2,1,2,2,1, , , , ,3,1,6,1,4,1,1,Information,1,1,0, , , ,64,3,6,3,2,1, , , ,1, ,3,3,2,1, , , ,1,0.529183,1.0117165
100565,2,1,180104,1,3,37,2,R,2,1,1,1,2,1,2, , ,1,2,2,1,2,2,2,2,2,1,2,2,1, , , , ,3,4,1,1, ,1,1,"relay technology faster, at your fingertips... can go on there for any issues like fixing a car and it makes life easier.",1,3,20,1,2,2,31,1,7,1,9,9, , , ,9, ,9,3,8,4,2, , ,2,0.8303776,0.5899139
100568,2,1,180104,1,1,36,4,S,2,2,1,1,1,1,2, , ,1,1,1,1,1,1,1,2,2,1,1,2,1,1,3, , ,3,5,5,5,2,1,1,fast access to information,1,1,5,1,2,1,53,3,6,1,2,1, , , ,1, ,99,2, ,3,2, , ,2,1.16556,0.9901648
100569,2,1,180104,1,1,9,4,S,2,1,1,1,1,1,2, , ,2,1,2,1,2,2,1,1,2,1,2,2,1, ,8,1, ,8,3,1,1,3,1,1,informative tool,1,1,4,1,2,2,62,1,4,1,2,1, , , ,1, ,9,1, ,2,2, , ,1,0.7306801,0.7453781
100570,2,1,180104,1,3,37,4,U,2,2,1,1,2,1,2, , ,1,1,1,1,2,2,2,1,2,1,2,2,1, , ,3, ,3,2,1,1,4,1,1,connecting the world of good things,2,1,6,1,1,2,61,1,6,1,2,1, , , ,1, ,99,2, ,2,2, , ,1,0.6184747,0.6529834
100571,2,1,180104,1,3,21,4,U,2,2,1,1,1,1,2, , ,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,3,1,4,1,1,2,1,1,"school information, very useful for you",1,1,7,1,2,2,41,1,6,2,2,1, , , ,1, ,5,2, ,4,2, , ,1,0.9480501,0.8392105
